iou,precision,recall,f1,dice,filename
0.3560724789425597,0.7153939946136427,0.4148369151399313,0.5251525777150473,0.5251525777150473,001813_1.jpg
0.18934410345847486,0.5323297491039427,0.22712536243408898,0.31840087811068996,0.31840087811068996,003854_1.jpg
0.6462860955919874,0.6726613120674582,0.9428002091930416,0.7851443285859614,0.7851443285859614,003846_1.jpg
0.031645989029194126,0.09482625482625483,0.04534329239988184,0.061350481397158006,0.061350481397158006,001802_1.jpg
0.04449873966302569,0.36017897091722595,0.048318167631029266,0.0852059231347312,0.0852059231347312,005479_1.jpg
0.6675253861349537,0.670340315199044,0.9937485489238389,0.8006179596247904,0.8006179596247904,005543_1.jpg
0.050354550059091674,0.09363472254925045,0.09823781291172595,0.09588105284307816,0.09588105284307816,000241_2.jpg
0.704194425357751,0.7225792937137252,0.9651287370597589,0.8264249840037164,0.8264249840037164,002304_1.jpg
0.06461640945930942,0.10146443514644352,0.1510511289903971,0.12138909166753571,0.12138909166753571,006872_1.jpg
0.07954834875626114,0.18053949903660887,0.12450172734520329,0.14737338785781692,0.14737338785781692,006470_2.jpg
0.44389194526731557,0.4439702303269726,0.9996029224904701,0.6148547981339911,0.6148547981339911,000128_1.jpg
0.3190675808880079,0.4282702569098126,0.5558155332477923,0.48377745842742764,0.48377745842742764,006455_1.jpg
0.1630869933666462,0.24283165818213462,0.3318271003032285,0.28043816893623436,0.28043816893623436,003778_2.jpg
0.6192313798283,0.803622935750737,0.7296391159203407,0.7648460714662805,0.7648460714662805,002685_1.jpg
0.035253893570585074,0.11986546142526802,0.04756700841724158,0.06810675871789205,0.06810675871789205,000330_1.jpg
0.12707412464418782,0.3175273231943561,0.1748225031042058,0.22549381955566505,0.22549381955566505,002742_1.jpg
0.6951368081393434,0.7038741081549643,0.9824561403508771,0.8201542256667249,0.8201542256667249,004999_1.jpg
0.28097337010922635,0.49160293576095987,0.3960562039237873,0.4386872930625689,0.4386872930625689,000954_1.jpg
0.09431345353675451,0.11564625850340136,0.3383084577114428,0.17237008871989862,0.17237008871989862,007416_2.jpg
0.09127388968237775,0.17095541401273887,0.16375838926174496,0.1672795263321907,0.1672795263321907,006678_1.jpg
0.6217165237355662,0.6290653183930035,0.9815565031982942,0.7667388407728182,0.7667388407728182,006802_1.jpg
0.24639370870767893,0.6236185847364463,0.2894355228529996,0.39537059114836487,0.39537059114836487,001288_1.jpg
0.10679797042937421,0.31198533708760556,0.13970002259940767,0.19298548295664605,0.19298548295664605,001844_1.jpg
0.19499859511098624,0.21036677781145802,0.7274633123689728,0.32635786503644487,0.32635786503644487,008187_2.jpg
0.025666277141133897,0.32740277694295844,0.027094919267387607,0.050048008232607924,0.050048008232607924,000865_1.jpg
0.40116354795293707,0.40116354795293707,1.0,0.5726148793108791,0.5726148793108791,006249_2.jpg
0.18202539889286878,0.18202539889286878,1.0,0.30798898071625347,0.30798898071625347,007248_1.jpg
0.3535142658315936,0.35699226985242444,0.9731800766283525,0.5223650385604113,0.5223650385604113,007428_1.jpg
0.2538817310868847,0.3224250052443885,0.5442634560906515,0.4049532340930049,0.4049532340930049,000278_2.jpg
0.11949771191980824,0.26981979211513624,0.17661030595813204,0.21348451300518262,0.21348451300518262,003249_1.jpg
0.06644743710199394,0.18868577075098814,0.09302608822741334,0.12461455631148745,0.12461455631148745,000527_1.jpg
0.36618257261410786,0.4166420773089407,0.7514635444385311,0.5360668185269551,0.5360668185269551,006609_1.jpg
0.14762551674773947,0.2425857247446561,0.2738493638814747,0.2572712345506154,0.2572712345506154,003872_1.jpg
0.32733233873678375,0.5845865453473188,0.4265504814157388,0.49321835863398683,0.49321835863398683,000003_1.jpg
0.08415729274978731,0.3149163453715822,0.10301775010992571,0.155249230554611,0.155249230554611,004690_1.jpg
0.15879970866715223,0.5775988131821553,0.17966432423167694,0.2740761970846595,0.2740761970846595,004642_1.jpg
0.016832761075286827,0.032705971687367795,0.03352048474067486,0.03310821940372262,0.03310821940372262,003363_1.jpg
0.1212107559823394,0.539534750472698,0.13519644510807532,0.21621404421177107,0.21621404421177107,002993_1.jpg
0.17209834190966267,0.20448369565217392,0.5207612456747405,0.29365853658536584,0.29365853658536584,007380_1.jpg
0.04480992712231633,0.07829640782964079,0.09483612109843155,0.08577622773117165,0.08577622773117165,001694_1.jpg
0.5618344046819533,0.5672063096720631,0.9834224983806348,0.7194545119479083,0.7194545119479083,001042_2.jpg
0.02715248170190475,0.09290052773075774,0.0369483001009841,0.052869427247871484,0.052869427247871484,003537_1.jpg
0.34712896209051425,0.5371669162097964,0.4952566790525813,0.5153611448629675,0.5153611448629675,006389_1.jpg
0.10022349035519777,0.42935489868005206,0.11562531290677881,0.18218751232595748,0.18218751232595748,002974_1.jpg
0.6297782530924372,0.6298795956230359,0.9997445913461539,0.7728391907272769,0.7728391907272769,005821_2.jpg
0.0375950014400837,0.7161572052401747,0.03816365741016982,0.07246565642260303,0.07246565642260303,002682_1.jpg
0.1691573423409838,0.5004052014483164,0.2035302157925295,0.2893662575856265,0.2893662575856265,002366_1.jpg
0.19691403379867745,0.23163353500432152,0.5677966101694916,0.32903621853898096,0.32903621853898096,007147_1.jpg
0.15691887236012977,0.35691664088853536,0.21877313686187405,0.2712703130860217,0.2712703130860217,006418_1.jpg
0.10501393068507724,0.4383627583422618,0.12133963148099595,0.1900680665988918,0.1900680665988918,004017_1.jpg
